"","lon","lat","id","owner","taken","upload","views","tags","title","imageURL","device"
"372","-78.641548","35.774002","37907460491","64684255@N00","2017-10-24 15:18:24","2017-10-24 19:19:54","19","ato2017","Now @garethgreenaway on ""What the FOSS Community Can Learn from 80s Television"" = #ato2017","https://farm5.staticflickr.com/4502/37907460491_45bfaff699.jpg","motorola XT1635-01"
"373","-78.641037","35.773616","37906367361","64684255@N00","2017-10-24 14:16:38","2017-10-24 18:16:58","18","","2017-10-24_02-16-49","https://farm5.staticflickr.com/4453/37906367361_7de41f3d91.jpg","motorola XT1635-01"
"374","-78.640337","35.773308","37857566136","64684255@N00","2017-10-24 14:03:07","2017-10-24 18:03:49","22","ato2017 raleigh","Wandered outside for some fresh air, it's beautiful out! #raleigh #ato2017","https://farm5.staticflickr.com/4454/37857566136_c48fd2b734.jpg","motorola XT1635-01"
"375","-78.641281","35.773702","37857475646","64684255@N00","2017-10-24 13:57:46","2017-10-24 17:58:29","45","ato2017","Really enjoyed the Lego lightning talk from @mrry550 = #ato2017","https://farm5.staticflickr.com/4510/37857475646_6e69701e68.jpg","motorola XT1635-01"
"376","-78.641314","35.773675","37648518830","64684255@N00","2017-10-24 13:52:58","2017-10-24 17:54:01","23","","The @opensourceway DevOps team! Psst, I'm part of it too <‰ #ato2017","https://farm5.staticflickr.com/4514/37648518830_731e3cfc42.jpg","motorola XT1635-01"
"377","-78.641314","35.773675","24053952238","64684255@N00","2017-10-24 13:48:33","2017-10-24 17:49:41","21","ato2017","Lightning talks! @ChrisShort talks about DevOps #ato2017","https://farm5.staticflickr.com/4445/24053952238_bb120d4558.jpg","motorola XT1635-01"
"378","-78.699885","35.883347","37169838463","46279025@N02","2017-10-23 12:04:13","2017-10-24 17:13:13","1129","greatblueheron ardeaherodias johnkelley","Artistic Impression","https://farm5.staticflickr.com/4457/37169838463_b7b818d668.jpg","NA"
"379","-78.641170","35.773291","37872412562","64684255@N00","2017-10-24 11:18:24","2017-10-24 15:20:23","28","ato2017","OpenStack + k8s + opnfv... via @marktvoelker #ato2017","https://farm5.staticflickr.com/4499/37872412562_4edfd3e085.jpg","motorola XT1635-01"
"380","-78.697731","35.830186","24048856478","29372603@N03","2017-10-21 10:57:27","2017-10-24 13:02:19","9","","","https://farm5.staticflickr.com/4501/24048856478_a9d8d9b713.jpg","Apple iPhone 7 Plus"
"381","-78.651009","35.791661","37860995772","52569650@N00","2017-10-23 17:47:17","2017-10-24 01:41:39","29","","","https://farm5.staticflickr.com/4490/37860995772_410a6d1f3c.jpg","Apple iPhone 7 Plus"
"382","-78.697503","35.830616","37843182546","29372603@N03","2017-10-21 11:13:44","2017-10-24 00:53:44","9","","","https://farm5.staticflickr.com/4477/37843182546_4ecd205f84.jpg","Apple iPhone 6s"
"383","-78.805328","35.811597","37860237562","29372603@N03","2017-10-20 13:24:18","2017-10-24 00:49:47","9","","","https://farm5.staticflickr.com/4458/37860237562_c399d0b7b3.jpg","Apple iPhone 6s"
"384","-78.805459","35.811458","37860236772","29372603@N03","2017-10-20 13:23:34","2017-10-24 00:49:45","9","","","https://farm5.staticflickr.com/4461/37860236772_51bf6b4bef.jpg","Apple iPhone 6s"
"385","-78.697678","35.830033","37843123186","29372603@N03","2017-10-21 09:58:50","2017-10-24 00:49:44","9","","","https://farm5.staticflickr.com/4510/37843123186_3680cabbd9.jpg","Apple iPhone 6s"
"386","-78.697587","35.830411","37860236212","29372603@N03","2017-10-21 10:36:47","2017-10-24 00:49:43","9","","","https://farm5.staticflickr.com/4498/37860236212_a7c673c925.jpg","Apple iPhone 6s"
"387","-78.697503","35.830402","37843122346","29372603@N03","2017-10-21 10:38:11","2017-10-24 00:49:41","9","","","https://farm5.staticflickr.com/4509/37843122346_bbf915d2d2.jpg","Apple iPhone 6s"
"388","-78.697503","35.830402","24039187898","29372603@N03","2017-10-21 10:38:10","2017-10-24 00:49:40","9","","","https://farm5.staticflickr.com/4498/24039187898_cd39d626d6.jpg","Apple iPhone 6s"
"389","-78.805109","35.811627","37860210402","29372603@N03","2017-10-20 19:53:13","2017-10-24 00:47:28","9","","","https://farm5.staticflickr.com/4490/37860210402_41e5f571fe.jpg","Apple iPhone 6s"
"390","-78.805267","35.811316","37181352184","29372603@N03","2017-10-21 15:32:46","2017-10-24 00:47:19","9","","","https://farm5.staticflickr.com/4451/37181352184_229d0052da.jpg","Apple iPhone 6s"
"391","-78.641170","35.773586","37840238886","64684255@N00","2017-10-23 17:25:19","2017-10-23 21:25:51","15","ato2017","Day one closing #ato2017","https://farm5.staticflickr.com/4469/37840238886_09e4467da8.jpg","motorola XT1635-01"
"392","-78.641548","35.774105","37175466454","64684255@N00","2017-10-23 14:17:15","2017-10-23 18:18:32","23","ato2017","It's almost time for my talk! #ato2017","https://farm5.staticflickr.com/4451/37175466454_8249d5d55b.jpg","motorola XT1635-01"
